#percent: 30
#time num_tuples
0.117339 10
0.162543 17
0.229887 24
0.312861 31
0.406735 38
0.504675 45
0.624342 52
0.730067 59
0.875534 66
1.011567 73
1.164596 80
1.339049 87
1.510526 94
1.701356 101
1.908339 108
2.123195 115
2.339203 122
2.572831 129
2.816976 136
3.065984 143
3.324547 150
3.596559 157
3.876293 164
4.182728 171
4.495161 178
4.808566 185
5.134734 192
5.477915 199
5.832154 206
6.198655 213
6.568155 220
6.960996 227
7.367927 234
7.770280 241
8.200274 248
8.629067 255
9.071069 262
9.533067 269
10.003572 276
10.485209 283
10.974180 290
11.480540 297
11.999015 304
12.539823 311
13.091607 318
13.654085 325
14.217645 332
14.809054 339
15.409847 346
16.029894 353
16.649987 360
17.287735 367
17.923500 374
18.596952 381
19.252666 388
19.955874 395
20.656909 402
21.381123 409
22.124134 416
22.872072 423
23.618691 430
24.383387 437
25.156706 444
25.947888 451
26.758215 458
27.586428 465
28.424025 472
29.267927 479
30.118402 486
30.992893 493
31.866493 500
32.781165 507
33.704212 514
34.622638 521
35.551419 528
36.505698 535
37.467957 542
38.451668 549
39.434912 556
40.455262 563
41.477927 570
42.426019 577
43.359910 584
44.309216 591
45.261503 598
46.225286 605
47.202796 612
48.192284 619
49.212026 626
50.221700 633
51.260893 640
52.293580 647
53.360972 654
54.408331 661
55.487386 668
56.552956 675
57.647689 682
58.751912 689
59.869153 696
60.997678 703
