#percent: 60
#time num_tuples
0.122743 7
0.174752 11
0.246396 15
0.330330 19
0.422827 23
0.513558 27
0.628156 31
0.727497 35
0.852447 39
0.983792 43
1.137436 47
1.276627 51
1.436118 55
1.598434 59
1.780030 63
1.966437 67
2.171927 71
2.381525 75
2.585600 79
2.818138 83
3.055366 87
3.302288 91
3.565623 95
3.826543 99
4.100439 103
4.397955 107
4.692967 111
5.017202 115
5.372514 119
5.781916 123
6.116816 127
6.458266 131
6.816130 135
7.177039 139
7.548080 143
7.914940 147
8.304659 151
8.695993 155
9.103506 159
9.537464 163
9.951695 167
10.387858 171
10.837013 175
11.295642 179
11.760067 183
12.237720 187
12.723455 191
13.210913 195
13.723563 199
14.229169 203
14.768963 207
15.304936 211
15.866722 215
16.425006 219
17.031418 223
17.617436 227
18.222096 231
18.840581 235
19.458261 239
20.100275 243
20.799644 247
21.502915 251
22.181180 255
22.883679 259
23.552531 263
24.287766 267
25.023693 271
25.791367 275
26.572666 279
27.317578 283
28.115231 287
28.911772 291
29.736966 295
30.555230 299
31.370930 303
32.255487 307
33.132956 311
33.999112 315
34.871154 319
35.717074 323
36.588905 327
37.539891 331
38.560810 335
39.469508 339
40.395390 343
41.296640 347
42.223299 351
43.151887 355
44.111972 359
45.086172 363
46.075044 367
47.084571 371
48.096958 375
49.026653 379
49.933374 383
50.851299 387
51.783226 391
52.720479 395
53.659442 399
54.598458 403
