#percent: 50
#time num_tuples
0.176348 28
1.242834 53
2.317400 78
3.248725 103
4.284921 128
5.330889 153
6.422551 178
7.555865 203
8.487479 228
9.631580 253
10.609765 278
11.650348 303
13.472071 328
14.961692 353
16.395786 378
17.539723 403
18.765985 428
19.686247 453
21.129808 478
22.337092 503
23.744398 528
24.942461 553
26.078691 578
27.280699 603
28.517452 628
29.639834 653
30.780804 678
31.927291 703
33.139455 728
34.400205 753
35.701213 778
37.088894 803
38.440908 828
39.946014 853
41.416961 878
43.030202 903
44.658584 928
46.663432 953
48.458554 978
50.634547 1003
