#percent: 90
#time num_tuples
0.220235 8
1.179597 13
2.198109 18
3.200418 23
4.238616 28
5.311342 33
6.314147 38
7.415349 43
8.309127 48
9.342053 53
10.561337 58
11.608228 63
12.417252 68
13.468612 73
14.681289 78
15.530868 83
16.456436 88
17.489971 93
18.484572 98
19.491235 103
20.545667 108
21.514338 113
22.508819 118
23.533426 123
24.548574 128
25.641464 133
26.673631 138
27.597744 143
28.601336 148
29.647340 153
30.634074 158
31.684314 163
32.772683 168
33.711188 173
34.699411 178
35.727296 183
36.747781 188
37.774368 193
38.780300 198
39.802988 203
40.035207 203
41.036444 203
42.037405 203
43.038588 203
44.039663 203
45.040741 203
46.041808 203
47.042548 203
48.043581 203
49.044652 203
