#percent: 80
#time num_tuples
0.270179 13
1.198159 23
2.223496 33
3.227089 43
4.281405 53
5.492771 63
6.377193 73
7.514714 83
8.560105 93
9.468643 103
10.499480 113
11.573515 123
12.522708 133
13.680217 143
14.583435 153
15.578658 163
16.609734 173
17.641437 183
18.699468 193
19.673678 203
20.676472 213
21.678173 223
22.731242 233
23.743264 243
24.764671 253
25.796387 263
26.832689 273
27.868309 283
28.866532 293
29.922315 303
30.912952 313
31.972461 323
33.006483 333
34.008350 343
35.031345 353
36.058708 363
37.138468 373
38.385994 383
39.810163 393
41.028590 403
41.030261 403
42.031907 403
43.032318 403
44.033305 403
45.034514 403
46.035023 403
47.035741 403
48.036646 403
49.036822 403
