#percent: 40
#time num_tuples
0.170689 33
1.160309 63
2.172535 93
3.230954 123
4.535114 153
5.619080 183
7.002852 213
7.808184 243
8.622947 273
9.614890 303
10.883960 333
11.628612 363
12.760458 393
13.706014 423
14.680285 453
15.718726 483
16.733323 513
17.761918 543
18.952953 573
19.856532 603
20.874563 633
21.900457 663
22.952002 693
23.981842 723
25.026310 753
26.069805 783
27.183738 813
28.503038 843
29.697518 873
30.946480 903
32.243436 933
33.607673 963
34.975807 993
36.361001 1023
38.044441 1053
40.005943 1083
41.937719 1113
44.043742 1143
46.104653 1173
47.818839 1203
47.821325 1203
48.822848 1203
49.823809 1203
