#percent: 0
#time num_tuples
0.112290 53
1.044032 103
2.050886 153
3.069046 203
4.080919 253
5.074428 303
6.092617 353
7.105780 403
8.105077 453
9.117986 503
10.119220 553
11.141672 603
12.148557 653
13.142807 703
14.132077 753
15.165549 803
16.170990 853
17.154204 903
18.186729 953
19.192381 1003
20.201011 1053
21.206870 1103
22.194166 1153
23.241075 1203
24.231240 1253
25.240458 1303
26.242533 1353
27.250925 1403
28.260395 1453
29.266602 1503
30.267212 1553
31.279560 1603
32.335751 1653
33.315749 1703
34.322039 1753
35.325847 1803
36.383609 1853
37.347576 1903
38.350468 1953
39.407019 2003
40.036791 2003
41.037230 2003
42.037608 2003
43.038767 2003
44.039847 2003
45.039875 2003
46.040979 2003
47.042038 2003
48.043112 2003
49.043964 2003
