#percent: 10
#time num_tuples
0.127840 48
1.080922 93
2.119281 138
3.113873 183
4.159084 228
5.163069 273
6.195622 318
7.214459 363
8.241488 408
9.273864 453
10.284789 498
11.316977 543
12.345335 588
13.365272 633
14.346404 678
15.399564 723
16.429695 768
17.453391 813
18.490737 858
19.481654 903
20.497741 948
21.523233 993
22.571402 1038
23.595424 1083
24.660279 1128
25.664921 1173
26.768803 1218
27.724914 1263
28.748556 1308
29.804332 1353
30.838524 1398
31.807324 1443
32.809656 1488
33.805784 1533
35.250808 1578
36.185697 1623
37.211037 1668
38.215070 1713
39.215000 1758
40.247186 1803
40.258335 1803
41.259121 1803
42.260525 1803
43.260310 1803
44.265097 1803
45.262501 1803
46.263577 1803
47.264510 1803
48.265512 1803
49.268763 1803
