#percent: 10
#time num_tuples
0.138289 48
1.081881 93
2.115477 138
3.113736 183
4.162073 228
5.166954 273
6.197561 318
7.218804 363
8.243516 408
9.283239 453
10.295335 498
11.325840 543
12.352338 588
13.369930 633
14.354235 678
15.397988 723
16.414020 768
17.411939 813
18.458349 858
19.477238 903
20.494733 948
21.521652 993
22.532246 1038
23.555874 1083
24.607052 1128
25.599706 1173
26.662321 1218
27.653729 1263
28.706279 1308
29.720770 1353
30.727133 1398
31.781304 1443
32.797445 1488
33.804645 1533
34.885016 1578
35.948229 1623
36.946711 1668
37.957698 1713
38.990028 1758
40.023903 1803
40.036689 1803
41.037667 1803
42.038640 1803
43.039708 1803
44.040648 1803
45.041539 1803
46.041962 1803
47.043004 1803
48.043893 1803
49.044807 1803
