#percent: 20
#time num_tuples
0.150791 43
1.104647 83
2.144883 123
3.179979 163
4.188136 203
5.233430 243
6.266085 283
7.291448 323
8.358793 363
9.370513 403
10.419621 443
11.431925 483
12.488974 523
13.529486 563
14.513338 603
15.525707 643
16.554278 683
17.586747 723
18.636384 763
19.642753 803
20.695866 843
21.717127 883
22.746541 923
23.821355 963
24.818885 1003
25.844622 1043
26.915602 1083
27.920230 1123
28.962709 1163
30.051837 1203
31.090722 1243
32.105791 1283
33.206922 1323
34.319292 1363
35.509192 1403
36.731128 1443
38.000471 1483
39.297041 1523
40.659043 1563
42.061529 1603
42.063398 1603
43.064366 1603
44.065322 1603
45.066200 1603
46.067117 1603
47.068069 1603
48.069151 1603
49.069531 1603
