#percent: 80
#time num_tuples
0.238576 13
1.194930 23
2.235615 33
3.257700 43
4.287499 53
5.318085 63
6.347319 73
7.384479 83
8.407933 93
9.466197 103
10.492876 113
11.528112 123
12.566473 133
13.587365 143
14.626088 153
15.667411 163
16.686793 173
17.741405 183
18.761214 193
19.735971 203
20.782793 213
21.813588 223
22.830478 233
23.872519 243
24.902707 253
25.931373 263
26.983818 273
27.994004 283
29.026451 293
30.070448 303
31.126475 313
32.226316 323
33.362413 333
34.520209 343
35.707236 353
36.923850 363
38.184144 373
39.475052 383
40.815339 393
42.181087 403
