#percent: 10
#time num_tuples
0.158579 48
1.092872 93
2.123589 138
3.151506 183
4.188417 228
5.196825 273
6.226607 318
7.264609 363
8.290389 408
9.323954 453
10.342442 498
11.360042 543
12.373546 588
13.404291 633
14.412280 678
15.454064 723
16.464249 768
17.504927 813
18.530734 858
19.555588 903
20.583323 948
21.605999 993
22.631578 1038
23.655720 1083
24.695526 1128
25.698835 1173
26.744868 1218
27.748351 1263
28.825245 1308
29.814835 1353
30.868722 1398
31.884214 1443
32.936614 1488
33.931215 1533
34.996721 1578
36.001969 1623
37.040953 1668
38.055100 1713
39.101144 1758
40.170672 1803
