#percent: 70
#time num_tuples
0.229199 18
1.197328 33
2.238983 48
3.273388 63
4.311185 78
5.346679 93
6.394476 108
7.449900 123
8.471439 138
9.535892 153
10.583731 168
11.616150 183
12.661749 198
13.700554 213
14.747603 228
15.804987 243
16.843292 258
17.906236 273
18.877027 288
19.898716 303
20.944863 318
21.977702 333
23.031909 348
24.065378 363
25.159478 378
26.289680 393
27.456103 408
28.648999 423
29.875055 438
31.145674 453
32.464123 468
33.799403 483
35.214759 498
36.705613 513
38.240491 528
39.815470 543
41.436555 558
43.118364 573
44.891818 588
46.620483 603
