#percent: 40
#time num_tuples
0.197244 33
1.161719 63
2.215416 93
3.254972 123
4.305405 153
5.356444 183
6.404364 213
7.452399 243
8.509902 273
9.552981 303
10.606967 333
11.664035 363
12.698381 393
13.772156 423
14.772232 453
15.791519 483
16.840128 513
17.898678 543
18.957992 573
19.983400 603
21.026773 633
22.101236 663
23.242174 693
24.419871 723
25.643306 753
26.909456 783
28.261974 813
29.625043 843
31.071213 873
32.583649 903
34.143788 933
35.761541 963
37.421406 993
39.110686 1023
40.906895 1053
42.695995 1083
44.565208 1113
46.503890 1143
48.508749 1173
50.545084 1203
