#percent: 20
#time num_tuples
0.167117 43
1.114014 83
2.168748 123
3.190044 163
4.231596 203
5.267559 243
6.298801 283
7.332457 323
8.385474 363
9.419964 403
10.462123 443
11.495924 483
12.540191 523
13.596254 563
14.585070 603
15.606454 643
16.635339 683
17.671351 723
18.719693 763
19.734918 803
20.787618 843
21.826494 883
22.854700 923
23.885805 963
24.939791 1003
25.961022 1043
27.021971 1083
28.037156 1123
29.108051 1163
30.212778 1203
31.349418 1243
32.524000 1283
33.730533 1323
34.986385 1363
36.275505 1403
37.649705 1443
39.035085 1483
40.445717 1523
41.926202 1563
43.454271 1603
