#percent: 30
#time num_tuples
0.183716 38
1.144616 73
2.190609 108
3.236572 143
4.276666 178
5.316174 213
6.356879 248
7.415712 283
8.468755 318
9.510682 353
10.551867 388
11.602584 423
12.650715 458
13.653737 493
14.700964 528
15.726742 563
16.785324 598
17.823544 633
18.864217 668
19.905642 703
20.950779 738
21.987544 773
23.047702 808
24.088589 843
25.188677 878
26.331220 913
27.542204 948
28.783931 983
30.086827 1018
31.403750 1053
32.802779 1088
34.222496 1123
35.671695 1158
37.200384 1193
38.751776 1228
40.380939 1263
42.057324 1298
43.795687 1333
45.589205 1368
47.411779 1403
