#percent: 60
#time num_tuples
0.217837 23
1.197331 43
2.238453 63
3.269034 83
4.334444 103
5.363088 123
6.414962 143
7.469661 163
8.500489 183
9.572004 203
10.618891 223
11.670299 243
12.717314 263
13.757371 283
14.822090 303
15.859824 323
16.882494 343
17.896412 363
18.937553 383
19.997707 403
21.025759 423
22.088928 443
23.193064 463
24.323156 483
25.534803 503
26.771560 523
28.049351 543
29.381358 563
30.740261 583
32.157874 603
33.620544 623
35.122981 643
36.690762 663
38.354018 683
40.055163 703
41.804729 723
43.687319 743
45.549100 763
47.440744 783
49.387091 803
