#percent: 50
#time num_tuples
0.180115 28
1.168765 53
2.186582 78
3.240931 103
4.277342 128
5.328884 153
6.361326 178
7.415693 203
8.447473 228
9.511965 253
10.554315 278
11.599128 303
12.643686 328
13.679165 353
14.771597 378
15.826843 403
16.794008 428
17.802578 453
18.832991 478
19.856638 503
20.932786 528
21.963971 553
23.003706 578
24.040686 603
25.111331 628
26.212439 653
27.374167 678
28.559142 703
29.796709 728
31.090769 753
32.432355 778
33.864112 803
35.267986 828
36.820053 853
38.340819 878
39.910079 903
41.600492 928
43.261765 953
44.998379 978
46.848039 1003
46.849364 1003
47.850759 1003
48.852563 1003
49.854498 1003
