#percent: 40
#time num_tuples
0.172691 33
1.157300 63
2.175509 93
3.226888 123
4.267407 153
5.304137 183
6.360874 213
7.383314 243
8.452742 273
9.503893 303
10.535964 333
11.579736 363
12.628466 393
13.672692 423
14.695061 453
15.702147 483
16.740805 513
17.769454 543
18.821675 573
19.849402 603
20.914362 633
21.927654 663
22.983944 693
24.021334 723
25.070494 753
26.144524 783
27.306467 813
28.452845 843
29.690294 873
30.978578 903
32.361904 933
33.778354 963
35.194404 993
36.634915 1023
38.248803 1053
39.830292 1083
41.441616 1113
43.111282 1143
44.879921 1173
46.685715 1203
46.687172 1203
47.688345 1203
48.689250 1203
49.690158 1203
