#percent: 60
#time num_tuples
0.190997 23
1.176691 43
2.194127 63
3.247708 83
4.301257 103
5.316793 123
6.361290 143
7.417897 163
8.442314 183
9.503847 203
10.554518 223
11.601249 243
12.644100 263
13.681394 283
14.743978 303
15.765594 323
16.784232 343
17.782606 363
18.846960 383
19.874780 403
20.896962 423
21.956837 443
22.964763 463
24.025379 483
25.068612 503
26.153186 523
27.257389 543
28.387422 563
29.587380 583
30.809265 603
32.085867 623
33.407057 643
34.798738 663
36.249260 683
37.712285 703
39.236859 723
40.798356 743
42.437836 763
44.120629 783
45.812801 803
45.813927 803
46.815905 803
47.818004 803
48.819912 803
49.820334 803
